;ProductId,RN,price,begintime, endtime, Totalcount, PersonalCount,PersonalDailyCount, saleRate, SaleBeginTime, SaleEndtime, tag, ItemID1,num1,day1,ItemID2,num2,day2,ItemID3,num3,day3,ItemID4,num4,day4,ItemID5,num5,day5
24082101,2796,10000,2024-08-28 4:00,2024-09-18 23:50,0,0,0,0,0,0,3,2796,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24110601,2711,500,0,0,0,0,5,0,0,0,64,2711,10,0,,,,,,,,,,,,
24110602,59,200,0,0,0,0,1,0,0,0,64,59,1,1,,,,,,,,,,,,
24110603,8623,100,0,0,0,0,1,0,0,0,64,8623,1,1,,,,,,,,,,,,
24110604,8195,200,0,0,0,0,1,0,0,0,64,8195,1,1,,,,,,,,,,,,
24110605,8196,200,0,0,0,0,1,0,0,0,64,8196,1,1,,,,,,,,,,,,
24110606,8167,100,0,0,0,0,1,0,0,0,68,8167,1,1,,,,,,,,,,,,
24110607,944,100,0,0,0,0,1,0,0,0,68,944,1,1,,,,,,,,,,,,
24110608,943,100,0,0,0,0,1,0,0,0,68,943,1,1,,,,,,,,,,,,
24110609,8084,100,0,0,0,0,1,0,0,0,68,8084,1,1,,,,,,,,,,,,
24110610,8085,100,0,0,0,0,1,0,0,0,68,8085,1,1,,,,,,,,,,,,
24110611,8107,100,0,0,0,0,1,0,0,0,68,8107,1,1,,,,,,,,,,,,
24110612,1056,100,0,0,0,0,1,0,0,0,68,1056,1,1,,,,,,,,,,,,
24110613,1055,100,0,0,0,0,1,0,0,0,68,1055,1,1,,,,,,,,,,,,
24110614,8135,100,0,0,0,0,1,0,0,0,68,8135,1,1,,,,,,,,,,,,
24110615,8134,100,0,0,0,0,1,0,0,0,68,8134,1,1,,,,,,,,,,,,
24110616,8566,1000,0,0,0,0,5,0,0,0,68,8566,1,0,,,,,,,,,,,,
24110617,8481,2000,0,0,0,0,1,0,0,0,68,8481,1,0,,,,,,,,,,,,
24110618,5250,500,0,0,0,0,0,0,0,0,1,5250,1,0,,,,,,,,,,,,
24110619,5250,5000,0,0,0,0,0,0,0,0,1,5250,10,0,,,,,,,,,,,,
24110620,65,15000,0,0,1000,1,0,0,0,0,68,65,1,0,,,,,,,,,,,,
24110621,8044,10000,0,0,0,0,0,0,0,0,1,8044,1,0,,,,,,,,,,,,
24110622,8324,9000,0,0,0,0,0,0,0,0,1,8324,1,0,,,,,,,,,,,,
24110623,8325,15000,0,0,0,0,0,0,0,0,1,8325,1,0,,,,,,,,,,,,
24110624,8326,30000,0,0,0,0,0,0,0,0,1,8326,1,0,,,,,,,,,,,,
24110625,91,5000,0,0,0,0,0,0,0,0,4,91,1,0,,,,,,,,,,,,
24110626,94,5000,0,0,0,0,0,0,0,0,4,94,1,0,,,,,,,,,,,,
24110627,455,500,0,0,0,0,0,0,0,0,4,455,1,7,,,,,,,,,,,,
24110628,455,1500,0,0,0,0,0,0,0,0,4,455,1,30,,,,,,,,,,,,
